序號,縣市,業者,品項,批號,有效日期,備註
,花蓮縣,91APP,福壽辣椒油-3L,BL140526F,20280430,福壽自行揭露
,臺北市,may1025316,福壽香油-3L,BS100626L,20280603,福壽自行揭露
,臺北市,mini_luo,福壽辣椒油-3L,BL140526F,20280430,福壽自行揭露
,臺北市,PCHOME,福壽大豆沙拉油-3L,C1190526K,20270518,福壽自行揭露
,臺北市,PCHOME,福壽大豆沙拉油-600CC,C1120526A,20270511,福壽自行揭露
,宜蘭縣,人人寵物有限公司,好味香油 ２００ｇP*12,BL080626H,2028/05/21,福壽自行揭露
,宜蘭縣,人人寵物有限公司,福壽好味香油-200g,BL080626H,20280521,福壽自行揭露
,桃園市,八方行食品股份有限公司,福壽大豆沙拉油-18L,C2200526O,20270519,福壽自行揭露
,高雄市,十代有限公司,健味香油 ３Ｌ(P*6),BL240426L,20280419,福壽自行揭露
,高雄市,十代有限公司,福壽炸酥油 １８Ｌ,BL260526D,2027/05/25,福壽自行揭露
,高雄市,十代有限公司,福壽炸酥油-18L,BL260526D,20270525,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL080526L,20280428,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL110626L,20280607,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL150626L,20280607,福壽自行揭露
,高雄市,十代有限公司,福壽健味香油-3L,BL240426L,20280419,福壽自行揭露
,高雄市,十代有限公司,福壽辣椒油-3L,BL150426F,20280408,福壽自行揭露
,臺中市,万生行,花生風味精華調合油-2L,BL130426F,20280108,福壽自行揭露
,臺中市,万生行,福壽大豆沙拉油-18L,C2110626O,20270610,福壽自行揭露
,臺中市,万生行,福壽大豆沙拉油-18L,C2120526O,20270511,福壽自行揭露
,臺中市,万生行,福壽大豆沙拉油-3L,C1100626K,20270609,福壽自行揭露
,臺中市,万生行,福壽大豆沙拉油-3L,C1280426K,20270427,福壽自行揭露
,臺中市,万生行,福壽炸酥油-18L,BL110626D,20270610,福壽自行揭露
,臺中市,万生行,福壽炸酥油-18L,BL120526D,20270511,福壽自行揭露
,臺中市,万生行,福壽胡麻油-3L,BL210526L,20280320,福壽自行揭露
,臺中市,万生行,福壽辣椒油-3L,BL050526F,20280423,福壽自行揭露
,新北市,三角有限公司,宏昌香油-3L,BL170426L,20280410,福壽自行揭露
,新北市,三角有限公司,宏昌香油-3L,BL200526L,20280428,福壽自行揭露
,新北市,三角有限公司,福壽香油-3L,BS050526L,20280419,福壽自行揭露
,新北市,三商食品股份有限公司,福壽大豆沙拉油-18L,C2150526O,20270514,福壽自行揭露
,新北市,三商食品股份有限公司,福壽炸酥油 １８Ｌ,BL280526D,2027/05/27,福壽自行揭露
,新北市,三商食品股份有限公司,福壽炸酥油-18L,BL070526D,20270506,福壽自行揭露
,新北市,三商食品股份有限公司,福壽炸酥油-18L,BL170426D,20270416,福壽自行揭露
,新北市,三商食品股份有限公司,福壽炸酥油-18L,BL280526D,20270527,福壽自行揭露
,桃園市,三商家購股份有限公司,福壽大豆沙拉油-600CC,C1220426A,20270421,福壽自行揭露
,桃園市,三商家購股份有限公司,福壽大豆沙拉油-600CC,C1230426A,20270422,福壽自行揭露
,桃園市,三商家購股份有限公司,福壽好味香油-200g,BL170426H,20280410,福壽自行揭露
,高雄市,三商餐飲股份有限公司,福壽好味香油-3L,BL160426L,20280410,福壽自行揭露
,桃園市,三商餐飲股份有限公司,福壽好味香油-3L,BL190526L,20280428,福壽自行揭露
,高雄市,三商餐飲股份有限公司,福壽好味香油-3L,BL240626L,20280607,福壽自行揭露
,臺中市,三商餐飲股份有限公司,福壽好味香油-3L,BL240626L,20280607,福壽自行揭露
,臺南市,三歐食品有限公司,沙拉油 １８Ｌ,C2210426O,20270420,福壽自行揭露
,臺南市,三歐食品有限公司,沙拉油 １８Ｌ,C2270526O,2027/05/26,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2030626O,20270602,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2050526O,20270504,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2050626O,20270604,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2060526O,20270505,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2090426O,20270408,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2090626O,20270608,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2110626O,20270610,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2150526O,20270514,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2190526O,20270518,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2210426O,20270420,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2270526O,20270526,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2290526O,20270528,福壽自行揭露
,臺南市,三歐食品有限公司,福壽大豆沙拉油-18L,C2290526P,20270528,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油 １８Ｌ,BL260526D,2027/05/25,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL040626D,20270603,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL050526D,20270504,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL050626D,20270604,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL080626D,20270607,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL100626D,20270609,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL110526D,20270510,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL130426D,20270412,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL140526D,20270513,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL160426D,20270415,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL210426D,20270420,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL260526D,20270525,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL280426D,20270427,福壽自行揭露
,臺南市,三歐食品有限公司,福壽炸酥油-18L,BL300426D,20270429,福壽自行揭露
,臺南市,三歐食品有限公司,福壽香油-3L,BS180626L,20280607,福壽自行揭露
,臺南市,三歐食品有限公司,福壽香油-3L,BS220526L,20280513,福壽自行揭露
,臺南市,三歐食品有限公司,福壽香油-3L,BS270426L,20280419,福壽自行揭露
,臺南市,三歐食品有限公司,福壽辣椒油-3L,BL150426F,20280408,福壽自行揭露
,彰化縣,上豪春食品有限公司,福壽大豆沙拉油-18L,C2170426O,20270416,福壽自行揭露
,臺中市,上豪春食品有限公司,福壽大豆沙拉油-18L,C2170626P,20270616,福壽自行揭露
,彰化縣,上豪春食品有限公司,福壽大豆沙拉油-3L,C1210426K,20270420,福壽自行揭露
,彰化縣,上豪春食品有限公司,福壽炸酥油-18L,BL200426D,20270419,福壽自行揭露
,彰化縣,上豪春食品有限公司,福壽胡麻油-3L,BL200426L,20280210,福壽自行揭露
,臺中市,上豪春食品有限公司,福壽香油-3L,BS180626L,20280607,福壽自行揭露
,臺中市,上豪春食品有限公司,福壽辣椒油-3L,BL140526F,20280430,福壽自行揭露
,彰化縣,上豪春食品有限公司,福壽辣椒油-3L,BL290426F,20280423,福壽自行揭露
,桃園市,久樂食品有限公司,沙拉油 １８ｋｇ,C2220526P,2027/05/21,福壽自行揭露
,桃園市,久樂食品有限公司,福壽大豆沙拉油-18K,C2090626P,20270608,福壽自行揭露
,桃園市,久樂食品有限公司,福壽大豆沙拉油-18K,C2130426P,20270412,福壽自行揭露
,桃園市,久樂食品有限公司,福壽大豆沙拉油-18K,C2270426P,20270426,福壽自行揭露
,桃園市,久樂食品有限公司,福壽大豆沙拉油-18K,C2290626P,20270628,福壽自行揭露
,澎湖縣,千友食品行,香油－Ａ ３Ｌ,BS100626L,2028/06/03,福壽自行揭露
,澎湖縣,千友食品行,福壽香油-3L,BS100626L,20280603,福壽自行揭露
,澎湖縣,千友食品行,福壽辣椒油-3L,BL050526F,20280423,福壽自行揭露
,新北市,大永行銷有限公司,沙拉油 １８Ｌ,C2140426P,20270413,福壽自行揭露
,新北市,大永行銷有限公司,福壽大豆沙拉油-18L,C2050526O,20270504,福壽自行揭露
,新北市,大永行銷有限公司,福壽大豆沙拉油-18L,C2100426O,20270409,福壽自行揭露
,新北市,大永行銷有限公司,福壽大豆沙拉油-18L,C2130426P,20270412,福壽自行揭露
,新北市,大永行銷有限公司,福壽大豆沙拉油-18L,C2140426P,20270413,福壽自行揭露
,新北市,大永行銷有限公司,福壽大豆沙拉油-18L,C2140526O,20270513,福壽自行揭露
,新北市,大永行銷有限公司,福壽炸酥油-18L,BL120626D,20270611,福壽自行揭露
,新北市,大永行銷有限公司,福壽香油-3L,BS260526L,20280513,福壽自行揭露
,新北市,大永行銷有限公司,福壽健味香油-3L,BL010626L,20280517,福壽自行揭露
,新北市,大永行銷有限公司,福壽健味香油-3L,BL280526L,20280517,福壽自行揭露
,新北市,大永行銷有限公司,福壽辣椒油-3L,BL140426F,20280408,福壽自行揭露
,新北市,大永行銷有限公司,福壽辣椒油-3L,BL150426F,20280408,福壽自行揭露
,桃園市,大如意商行,福壽大豆沙拉油-18L,C2300626P,20270629,福壽自行揭露
,桃園市,大如意商行,福壽炸酥油-18L,BL010726D,20270630,福壽自行揭露
,高雄市,大成油粉行,福壽辣椒油-3L,BL050526F,20280423,福壽自行揭露
,高雄市,大成油粉行,福壽辣椒油-3L,BL140426F,20280408,福壽自行揭露
,高雄市,大成油粉行,福壽辣椒油-3L,BL150426F,20280408,福壽自行揭露
,臺南市,大家國際有限公司,福壽胡麻油-3L,BL200426L,20280210,福壽自行揭露
,臺南市,大家國際有限公司,福壽胡麻油-3L,BL210526L,20280320,福壽自行揭露
,臺南市,大家國際有限公司,福壽香油-3L,BS050526L,20280419,福壽自行揭露
,臺南市,大家國際有限公司,福壽香油-3L,BS110526L,20280428,福壽自行揭露
,新北市,大家發實業股份有限公司,福壽好味香油-500g,BL010626H,20280517,福壽自行揭露
,新竹市,大富食品行,沙拉油 １８Ｌ,C2140426O,20270413,福壽自行揭露
,新竹市,大富食品行,沙拉油－塑桶 ３Ｌ (P*6)P*6,C1140426K,20270413,福壽自行揭露
,新竹市,大富食品行,沙拉油－塑桶 ３Ｌ (P*6)P*6,C1250526K,2027/05/24,福壽自行揭露
,新竹市,大富食品行,香油－Ａ ３Ｌ,BS040626L,2028/05/31,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2010626O,20270531,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2040526O,20270503,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2050626O,20270604,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2090426O,20270408,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2120526O,20270511,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2140426O,20270413,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2200526P,20270519,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2230426O,20270422,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2290626O,20270628,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-18L,C2300626P,20270629,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1070526K,20270506,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1140426K,20270413,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1160626K,20270615,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1180526K,20270517,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1210426K,20270420,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1270426K,20270426,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-3L,C1280426K,20270427,福壽自行揭露
,新竹市,大富食品行,福壽大豆沙拉油-600CC,C1230426A,20270422,福壽自行揭露
,新竹市,大富食品行,福壽好味香油-3L,BL190526L,20280428,福壽自行揭露
,新竹市,大富食品行,福壽好味香油-3L,BL240626L,20280607,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL010626D,20270531,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL010726D,20270630,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL080626D,20270607,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL120526D,20270511,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL150626D,20270614,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL180526D,20270517,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL220426D,20270421,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL240626D,20270623,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL280426D,20270427,福壽自行揭露
,新竹市,大富食品行,福壽炸酥油-18L,BL290426D,20270428,福壽自行揭露
,新竹市,大富食品行,福壽胡麻油-3L,BL040526L,20280306,福壽自行揭露
,新竹市,大富食品行,福壽胡麻油-3L,BL210526L,20280320,福壽自行揭露
,新竹市,大富食品行,福壽香油-3L,BS040626L,20280531,福壽自行揭露
,新竹市,大富食品行,福壽香油-3L,BS180526L,20280428,福壽自行揭露
,新竹市,大富食品行,福壽香油-3L,BS220626L,20280607,福壽自行揭露
,新竹市,大富食品行,福壽辣椒油-3L,BL140526F,20280430,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,沙拉油 １８Ｌ,C2220526O,2027/05/21,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,香油－Ａ ３Ｌ,BS040626L,2028/05/31,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽大豆沙拉油-18L,C2050626O,20270604,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽大豆沙拉油-18L,C2130426O,20270412,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽大豆沙拉油-18L,C2130526O,20270512,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽大豆沙拉油-18L,C2140526O,20270513,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽大豆沙拉油-18L,C2220426O,20270421,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽大豆沙拉油-18L,C2220526O,20270521,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽炸酥油-18L,BL050626D,20270604,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽炸酥油-18L,BL290426D,20270428,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽胡麻油-3L,BL040526L,20280306,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽香油-3L,BS040626L,20280531,福壽自行揭露
,高雄市,大發冷凍食品股份有限公司,福壽香油-3L,BS260526L,20280513,福壽自行揭露
,臺中市,大買家股份有限公司大里國光分公司,福壽好味香油-500g,BL010626H,20280517,福壽自行揭露
,臺中市,大買家股份有限公司台中北屯分公司,福壽好味香油-500g,BL010626H,20280517,福壽自行揭露
,新北市,大新,一級黃豆油,313-1150408,20270407,福壽自行揭露
,新北市,大新,一級黃豆油,316-1150623,20270622,福壽自行揭露
,新北市,大新食品,一級黃豆油,313-1150512,20270511,福壽自行揭露
,屏東縣,大源實業,一級黃豆油,313-1150420,20270419,福壽自行揭露
,屏東縣,大源實業,一級黃豆油,314-1150608,20270607,福壽自行揭露
,屏東縣,大源實業,一級黃豆油,316-1150515,20270514,福壽自行揭露
,臺北市,小箖海產店,福壽大豆沙拉油-18L,C2040626O,20270603,福壽自行揭露
,臺北市,小箖海產店,福壽大豆沙拉油-18L,C2140526O,20270513,福壽自行揭露
,臺北市,小箖海產店,福壽炸酥油-18L,BL200426D,20270419,福壽自行揭露
,臺北市,小箖海產店,福壽炸酥油-18L,BL210426D,20270420,福壽自行揭露
,高雄市,小樽日本料理股份有限公司,福壽大豆沙拉油-18L,C2040526O,20270503,福壽自行揭露
,高雄市,小樽日本料理股份有限公司,福壽大豆沙拉油-18L,C2100426O,20270409,福壽自行揭露
,高雄市,小樽日本料理股份有限公司,福壽大豆沙拉油-18L,C2110626O,20270610,福壽自行揭露
,高雄市,小樽日本料理股份有限公司,福壽大豆沙拉油-18L,C2290526O,20270528,福壽自行揭露
,高雄市,小樽日本料理股份有限公司,福壽大豆沙拉油-3L,C1280426K,20270427,福壽自行揭露
,新北市,山海全企業有限公司,香油－Ａ ３Ｌ,BS040626L,2028/05/31,福壽自行揭露
,新北市,山海全企業有限公司,健味香油 ３Ｌ(P*6),BL100626L,2028/05/22,福壽自行揭露
,新北市,山海全企業有限公司,健味香油 ３Ｌ(P*6),BL150426L,2028/04/05,福壽自行揭露
,新北市,山海全企業有限公司,福壽大豆沙拉油-18L,C2100426O,20270409,福壽自行揭露
,新北市,山海全企業有限公司,福壽胡麻油-3L,BL200426L,20280210,福壽自行揭露
,新北市,山海全企業有限公司,福壽香油-3L,BS040626L,20280531,福壽自行揭露
,新北市,山海全企業有限公司,福壽健味香油-3L,BL010626L,20280517,福壽自行揭露
,新北市,山海全企業有限公司,福壽健味香油-3L,BL100626L,20280522,福壽自行揭露
,新北市,山海全企業有限公司,福壽健味香油-3L,BL110626L,20280607,福壽自行揭露
,新北市,山海全企業有限公司,福壽健味香油-3L,BL130426L,20280402,福壽自行揭露
,新北市,山海全企業有限公司,福壽健味香油-3L,BL150426L,20280405,福壽自行揭露
,新北市,山海全企業有限公司,福壽辣椒油-3L,BL150426F,20280408,福壽自行揭露
,新北市,川立商行,福壽大豆沙拉油-3L,C1070526K,20270506,福壽自行揭露
,臺中市,中萊企業社,福壽大豆沙拉油-600CC,C1290626A,20270628,福壽自行揭露
,臺中市,中聯油脂股份有限公司,福壽大豆沙拉油-3L,C1210426K,20270420,福壽自行揭露
,臺中市,中聯油脂股份有限公司,福壽大豆沙拉油-3L,C1220426K,20270421,福壽自行揭露
,臺北市,予揚生技研發股份有限公司,福壽大豆沙拉油-18L,C2230426O,20270422,福壽自行揭露
,新北市,五股(現兌),福壽大豆沙拉油-600CC,C1130526A,20270512,福壽自行揭露
,臺北市,五股(現兌),福壽香油-3L,BS220626L,20280607,福壽自行揭露
,新北市,五股-直購客人,沙拉油 １８Ｌ,C2260526P,2027/05/25,福壽自行揭露
,新北市,五股-直購客人,健味香油 ３Ｌ(P*6),BL150426L,2028/04/05,福壽自行揭露
,新北市,五股-直購客人,福壽健味香油-3L,BL010626L,20280517,福壽自行揭露
,雲林縣,五條港,一級黃豆油,316-1150504,20270503,福壽自行揭露
,臺中市,仁偉商行,沙拉油 １８Ｌ,C2160426O,2027/04/15,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-18L,C2110626O,20270610,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-18L,C2120626O,20270611,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-18L,C2160426O,20270415,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-18L,C2230626P,20270622,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-3L,C1070526K,20270506,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-3L,C1190526K,20270518,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-600CC,C1220426A,20270421,福壽自行揭露
,臺中市,仁偉商行,福壽大豆沙拉油-600CC,C1230426A,20270422,福壽自行揭露
,臺中市,仁偉商行,福壽炸酥油-18L,BL010726D,20270630,福壽自行揭露
,臺中市,仁偉商行,福壽胡麻油-3L,BL210526L,20280320,福壽自行揭露
,臺中市,仁偉商行,福壽香油-3L,BS180526L,20280428,福壽自行揭露
,臺中市,仁偉商行,福壽香油-3L,BS270426L,20280419,福壽自行揭露
,臺中市,仁偉商行,福壽辣椒油-3L,BL140426F,20280408,福壽自行揭露
,高雄市,仇鶯燕,福壽大豆沙拉油-18L,C2230426O,20270422,福壽自行揭露
,高雄市,介勤企業行,福壽大豆沙拉油-18L,C2050526O,20270504,福壽自行揭露
,高雄市,介勤企業行,福壽大豆沙拉油-18L,C2140526O,20270513,福壽自行揭露
,高雄市,介勤企業行,福壽炸酥油-18L,BL120526D,20270511,福壽自行揭露
,高雄市,介勤企業行,福壽炸酥油-18L,BL300426D,20270429,福壽自行揭露
,高雄市,介勤企業行,福壽香油-3L,BS110526L,20280428,福壽自行揭露
,高雄市,介勤企業行,福壽香油-3L,BS150526L,20280428,福壽自行揭露
,新北市,元太興有限公司,沙拉油 １８Ｌ,C2150426O,2027/04/14,福壽自行揭露
,新北市,元太興有限公司,沙拉油 １８Ｌ,C2220526O,2027/05/21,福壽自行揭露
,新北市,元太興有限公司,沙拉油 １８Ｌ,C2270526O,2027/05/26,福壽自行揭露
,新北市,元太興有限公司,沙拉油－塑桶 ３Ｌ (P*6)P*6,C1140426K,20270413,福壽自行揭露
,新北市,元太興有限公司,沙拉油－塑桶 ３Ｌ (P*6)P*6,C1250526K,2027/05/24,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2050626O,20270604,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2090426O,20270408,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2110626P,20270610,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2130526O,20270512,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2140526O,20270513,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2150426O,20270414,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2170626O,20270616,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2220526O,20270521,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2230426O,20270422,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2260626O,20270625,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2270526O,20270526,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-18L,C2280426O,20270427,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-3L,C1100426K,20270409,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-3L,C1100626K,20270609,福壽自行揭露
,新北市,元太興有限公司,福壽大豆沙拉油-3L,C1140426K,20270413,福壽自行揭露
,新北市,元太興有限公司,福壽好味香油-3L,BL160426L,20280410,福壽自行揭露
,新北市,元太興有限公司,福壽好味香油-3L,BL190526L,20280428,福壽自行揭露
,新北市,元太興有限公司,福壽好味香油-3L,BL300426L,20280419,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油 １８Ｌ,BL260526D,2027/05/25,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油-18L,BL150626D,20270614,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油-18L,BL160426D,20270415,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油-18L,BL210426D,20270420,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油-18L,BL220626D,20270621,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油-18L,BL240426D,20270423,福壽自行揭露
,新北市,元太興有限公司,福壽炸酥油-18L,BL260526D,20270525,福壽自行揭露
,新北市,元太興有限公司,福壽辣椒油-3L,BL050526F,20280423,福壽自行揭露
,高雄市,元坊食品有限公司,福壽大豆沙拉油-18L,C2050626O,20270604,福壽自行揭露
,新竹市,元昇食品有限公司,沙拉油 １８Ｌ,C2160426O,2027/04/15,福壽自行揭露
,新北市,元昇食品有限公司,沙拉油－塑桶 ３Ｌ (P*6)P*6,C1250526K,2027/05/24,福壽自行揭露
,新北市,元昇食品有限公司,真香芝麻香油 ３Ｌ,BL020626L,2028/05/17,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-18L,C2160426O,20270415,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-18L,C2170626O,20270616,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-18L,C2190526O,20270518,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-18L,C2290526O,20270528,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-18L,C2300426O,20270429,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-3L,C1070526K,20270506,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-3L,C1180526K,20270517,福壽自行揭露
,新竹市,元昇食品有限公司,福壽大豆沙拉油-3L,C1220426K,20270421,福壽自行揭露
,新北市,元昇食品有限公司,福壽炸酥油 １８Ｌ,BL220526D,2027/05/21,福壽自行揭露
,新北市,元昇食品有限公司,福壽炸酥油 １８Ｌ,BL250526D,2027/05/24,福壽自行揭露
,新竹市,元昇食品有限公司,福壽炸酥油-18L,BL220526D,20270521,福壽自行揭露
,新竹市,元昇食品有限公司,福壽炸酥油-18L,BL240426D,20270423,福壽自行揭露
,新竹市,元昇食品有限公司,福壽炸酥油-18L,BL240626D,20270623,福壽自行揭露
,新竹市,元昇食品有限公司,福壽炸酥油-18L,BL250526D,20270524,福壽自行揭露
,新竹市,元昇食品有限公司,福壽真香芝麻香油-3L,BL020626L,20280517,福壽自行揭露
,臺南市,元家企業,一級黃豆油,313-1150420,20270419,福壽自行揭露
,臺南市,元家企業,一級黃豆油,315-1150521,20270520,福壽自行揭露
,臺南市,元家企業,一級黃豆油,315-1150614,20270613,福壽自行揭露
